source,target
@typescript-eslint/typescript-estree,debug
@typescript-eslint/typescript-estree,fast-glob
@typescript-eslint/typescript-estree,is-glob
@typescript-eslint/typescript-estree,minimatch
@typescript-eslint/typescript-estree,semver
@typescript-eslint/typescript-estree,ts-api-utils
foreground-child,cross-spawn
foreground-child,signal-exit
es-set-tostringtag,es-errors
es-set-tostringtag,get-intrinsic
es-set-tostringtag,has-tostringtag
es-set-tostringtag,hasown
@nodelib/fs.scandir,@nodelib/fs.stat
@nodelib/fs.scandir,run-parallel
keyv,@keyv/serialize
fast-levenshtein,fastest-levenshtein
parse5,entities
is-wsl,is-inside-container
parent-module,callsites
@nodelib/fs.walk,@nodelib/fs.scandir
@nodelib/fs.walk,fastq
@typescript-eslint/visitor-keys,@typescript-eslint/types
@typescript-eslint/visitor-keys,eslint-visitor-keys
open,default-browser
open,define-lazy-prop
open,is-inside-container
open,wsl-utils
tough-cookie,tldts
finalhandler,debug
finalhandler,parseurl
finalhandler,statuses
finalhandler,encodeurl
finalhandler,escape-html
finalhandler,on-finished
jest-message-util,@babel/code-frame
jest-message-util,@jest/types
jest-message-util,@types/stack-utils
jest-message-util,chalk
jest-message-util,graceful-fs
jest-message-util,micromatch
jest-message-util,pretty-format
jest-message-util,slash
jest-message-util,stack-utils
error-ex,is-arrayish
raw-body,bytes
raw-body,http-errors
raw-body,iconv-lite
raw-body,unpipe
on-finished,ee-first
ajv-keywords,fast-deep-equal
run-parallel,queue-microtask
estree-walker,@types/estree
send,debug
send,encodeurl
send,escape-html
send,etag
send,fresh
send,http-errors
send,mime-types
send,ms
send,on-finished
send,range-parser
send,statuses
has-property-descriptors,es-define-property
domutils,dom-serializer
domutils,domelementtype
domutils,domhandler
esrecurse,estraverse
call-bound,call-bind-apply-helpers
call-bound,get-intrinsic
@eslint/eslintrc,ajv
@eslint/eslintrc,debug
@eslint/eslintrc,espree
@eslint/eslintrc,globals
@eslint/eslintrc,ignore
@eslint/eslintrc,import-fresh
@eslint/eslintrc,js-yaml
@eslint/eslintrc,minimatch
@eslint/eslintrc,strip-json-comments
is-regex,call-bound
is-regex,gopd
is-regex,has-tostringtag
is-regex,hasown
@typescript-eslint/scope-manager,@typescript-eslint/types
@typescript-eslint/scope-manager,@typescript-eslint/visitor-keys
esquery,estraverse
jest-diff,@jest/diff-sequences
jest-diff,@jest/get-type
jest-diff,chalk
jest-diff,pretty-format
is-binary-path,binary-extensions
acorn-walk,acorn
which-typed-array,available-typed-arrays
which-typed-array,call-bind
which-typed-array,call-bound
which-typed-array,for-each
which-typed-array,get-proto
which-typed-array,gopd
which-typed-array,has-tostringtag
inflight,once
inflight,wrappy
accepts,mime-types
