package,risk_score,in_degree,out_degree,betweenness,is_topN
inquirer,0.020000,0,7,0.000000,True
object.entries,0.019943,1,4,0.000001,True
@babel/helper-optimise-call-expression,0.019862,2,1,0.000002,True
@babel/helper-remap-async-to-generator,0.019785,1,3,0.000008,True
@smithy/hash-node,0.019724,1,4,0.000001,True
@eslint/core,0.019577,2,1,0.000002,True
doctrine,0.019577,2,1,0.000002,True
@smithy/util-defaults-mode-browser,0.019567,1,4,0.000000,True
@aws-sdk/middleware-host-header,0.019493,1,4,0.000000,True
serve-static,0.019493,1,4,0.000000,True
@webassemblyjs/wasm-opt,0.019493,1,4,0.000000,True
@webassemblyjs/helper-wasm-section,0.019493,1,4,0.000000,True
@eslint-community/eslint-utils,0.019429,2,1,0.000001,True
@jest/source-map,0.019352,1,3,0.000007,True
@babel/plugin-syntax-import-attributes,0.019028,2,1,0.000000,True
@babel/plugin-syntax-private-property-in-object,0.019028,2,1,0.000000,True
anymatch,0.018995,1,2,0.000014,True
@smithy/util-body-length-browser,0.018986,2,1,0.000000,True
@types/send,0.018986,2,1,0.000000,True
type-check,0.018986,2,1,0.000000,True
@smithy/service-error-classification,0.018986,2,1,0.000000,True
@jest/expect-utils,0.018986,2,1,0.000000,True
@smithy/util-config-provider,0.018986,2,1,0.000000,True
ssri,0.018986,2,1,0.000000,True
@smithy/util-hex-encoding,0.018986,2,1,0.000000,True
@smithy/is-array-buffer,0.018986,2,1,0.000000,True
is-weakref,0.018986,2,1,0.000000,True
@smithy/util-uri-escape,0.018986,2,1,0.000000,True
@nodelib/fs.scandir,0.018798,1,2,0.000013,True
p-locate,0.018598,1,1,0.000020,True
cliui,0.018555,1,3,0.000005,True
flat-cache,0.018407,1,3,0.000005,True
which,0.018303,1,1,0.000019,True
shebang-command,0.018303,1,1,0.000019,True
cssstyle,0.018112,1,3,0.000004,True
unicode-match-property-ecmascript,0.017912,1,2,0.000011,True
prop-types,0.017817,1,3,0.000003,True
jwa,0.017817,1,3,0.000003,True
@aws-crypto/sha256-js,0.017817,1,3,0.000003,True
set-proto,0.017788,1,3,0.000003,True
is-weakset,0.017617,1,2,0.000010,True
eslint-import-resolver-node,0.017522,1,3,0.000002,True
tar-stream,0.017522,1,3,0.000002,True
@aws-crypto/util,0.017522,1,3,0.000002,True
node-fetch,0.017522,1,3,0.000002,True
tsconfig-paths,0.017522,1,3,0.000002,True
postcss,0.017522,1,3,0.000002,True
@babel/plugin-transform-async-to-generator,0.017522,1,3,0.000002,True
babel-plugin-polyfill-corejs2,0.017508,1,3,0.000002,True
istanbul-lib-source-maps,0.017492,1,3,0.000002,True
@babel/plugin-transform-function-name,0.017456,1,3,0.000002,True
@sinonjs/fake-timers,0.017417,1,1,0.000017,True
restore-cursor,0.017322,1,2,0.000009,True
validate-npm-package-license,0.017322,1,2,0.000009,True
@types/serve-static,0.017276,1,3,0.000002,True
dom-serializer,0.017226,1,3,0.000002,True
@babel/helper-wrap-function,0.017153,1,3,0.000001,True
autoprefixer,0.017143,0,6,0.000000,True
listr2,0.017143,0,6,0.000000,True
vite,0.017143,0,6,0.000000,True
globby,0.017143,0,6,0.000000,True
v8-to-istanbul,0.016882,1,3,0.000001,True
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,0.016710,1,3,0.000000,True
string.prototype.trimstart,0.016673,1,3,0.000000,True
data-view-byte-length,0.016636,1,3,0.000000,True
@typescript-eslint/project-service,0.016636,1,3,0.000000,True
get-symbol-description,0.016636,1,3,0.000000,True
@smithy/middleware-content-length,0.016636,1,3,0.000000,True
own-keys,0.016636,1,3,0.000000,True
data-view-buffer,0.016636,1,3,0.000000,True
@aws-sdk/middleware-logger,0.016636,1,3,0.000000,True
typed-array-buffer,0.016636,1,3,0.000000,True
data-view-byte-offset,0.016636,1,3,0.000000,True
path-scurry,0.016288,1,2,0.000007,True
makeerror,0.016236,1,1,0.000014,True
bser,0.016236,1,1,0.000014,True
is-arrayish,0.016129,2,0,0.000000,True
@nodelib/fs.stat,0.016129,2,0,0.000000,True
@typescript-eslint/tsconfig-utils,0.016129,2,0,0.000000,True
supports-color,0.016129,2,0,0.000000,True
@eslint-community/regexpp,0.016129,2,0,0.000000,True
indent-string,0.016129,2,0,0.000000,True
etag,0.016129,2,0,0.000000,True
emittery,0.016129,2,0,0.000000,True
caniuse-lite,0.016129,2,0,0.000000,True
tapable,0.016129,2,0,0.000000,True
regenerate,0.016129,2,0,0.000000,True
